Variavel;Significado;Tipo
"    ""instant"":";" ""N£mero de registro"",";Discreta
"    ""dteday"":";" ""Data do registro"",";Ordinal
"    ""season"":";" ""Esta‡Æo do ano (1: primavera, 2: verÆo, 3: outono, 4: inverno)"",";Ordinal
"    ""yr"":";" ""Ano (0: 2011, 1: 2012)"",";Ordinal
"    ""mnth"":";" ""Mˆs (1 a 12)"",";Ordinal
"    ""holiday"":";" ""Indica se o dia ‚ feriado (0: nÆo feriado, 1: feriado)"",";Nominal
"    ""weekday"":";" ""Dia da semana (0 a 6, onde 0 ‚ domingo)"",";Ordinal
"    ""workingday"":";" ""Indica se ‚ dia £til (0: nÆo dia £til, 1: dia £til)"",";Nominal
"    ""weathersit"":";" ""Condi‡Æo meteorol¢gica (1: limpo, 2: nublado/nebuloso, 3: chuva leve, 4: chuva forte)"",";Ordinal
"    ""temp"":";" ""Temperatura normalizada"",";Cont¡nua
"    ""atemp"":";" ""Sensa‡Æo t‚rmica normalizada"",";Cont¡nua
"    ""hum"":";" ""Umidade normalizada"",";Cont¡nua
"    ""windspeed"":";" ""Velocidade do vento normalizada"",";Cont¡nua
"    ""casual"":";" ""N£mero de alugu‚is de bicicletas por usu rios casuais"",";Discreta
"    ""registered"":";" ""N£mero de alugu‚is de bicicletas por usu rios registrados"",";Discreta
"    ""cnt"":";" ""Total de alugu‚is de bicicletas (casual + registrado)""";Discreta
